folder,filename,description_th,source_filename
characters/freya,freya-standing-wave.png,Freya ยืนโบกมือทักทาย,สาวน_อยเวทมนตร_ในช_ดม_วง.png
characters/freya,freya-opening-treasure.png,Freya เปิดหีบรางวัล,สาวน_อยเวทย_มนตร_และสมบ_ต_แห_งความส_ข.png
characters/freya,freya-reading.png,Freya อ่านหนังสือ,เด_กหญ_งเวทมนตร_ก_าล_งอ_านหน_งส_อ.png
characters/freya,freya-celebrating.png,Freya ฉลองความสำเร็จ,เด_กสาวพ_อมดแสนส_ขก_บช_ยชนะ.png
characters/freya,freya-magic-wand.png,Freya ใช้ไม้กายสิทธิ์,แม_มดน_อยก_บไม_กายส_ทธ_ว_เศษ.png
characters/lumi,lumi-normal.png,Lumi ท่าปกติ,กระต_ายน_อยในผ_าคล_มดาว.png
characters/lumi,lumi-happy.png,Lumi อารมณ์ดี,กระต_ายน_อยน_าร_กในช_ดคล_มดาว.png
characters/lumi,lumi-thinking.png,Lumi กำลังคิด,กระต_ายน_อยในเคปส_ม_วง.png
characters/lumi,lumi-surprised.png,Lumi ประหลาดใจ,กระต_ายน_อยย_นน_งในความประหลาดใจ.png
characters/lumi,lumi-excited.png,Lumi ตื่นเต้น,กระต_ายน_อยในช_ดคล_มม_วงส_ดน_าร_ก.png
worlds,life-village.png,โลกทักษะชีวิต,หม_บ_านบนเกาะลอยฟ_าในฝ_น.png
worlds,library-of-words.png,โลกภาษาและห้องสมุด,ห_องสม_ดเวทมนตร_บนเกาะลอยน_า.png
worlds,shape-town.png,โลกคณิตศาสตร์และรูปทรง,เกาะลอยฟ_าก_บเม_องบล_อกส_พาสเทล.png
worlds,sky-laboratory.png,โลกวิทยาศาสตร์,ห_องทดลองลอยฟ_ากลางเมฆ.png
worlds,wonder-garden.png,โลกเกษตรและธรรมชาติ,สวนล_กล_บบนเกาะลอยฟ_า.png
worlds,world-city.png,โลกสังคมและการสำรวจโลก,เกาะลอยฟ_ามหาว_ทยาล_ยแห_งเวทมนตร.png
worlds,art-island.png,โลกศิลปะ,เกาะลอยฟ_าแห_งศ_ลปะส_ส_นสดใส.png
missions,read-book.png,read book,magical_bedtime_storybook_with_fairy_tale_vibes.png
missions,write-journal.png,write journal,magical_stationery_moment_with_quill.png
missions,help-friend.png,help friend,helping_hands_in_a_magical_world.png
missions,clean-room.png,clean room,a_magical_room_tidy_up_scene.png
missions,water-plants.png,water plants,watering_the_plant_with_magic_sparkles.png
missions,exercise.png,exercise,whimsical_pastel_workout_accessories.png
missions,eat-healthy.png,eat healthy,healthy_salad_with_love_and_sparkles.png
missions,learn-something-new.png,learn something new,whimsical_stack_of_books_and_light_bulb.png
missions,be-kind.png,be kind,pastel_heart_with_angelic_wings.png
missions,save-money.png,save money,kawaii_piggy_bank_with_golden_coins.png
missions,planting.png,planting,whimsical_garden_with_sparkles_and_stars.png
missions,science-experiment.png,science experiment,magical_alchemy_tabletop_setup.png
missions,reading-study.png,reading study,magical_reading_nook_with_glowing_books.png
